,Computer Memory Type,Wireless Type,ASIN,Date First Available,Processor Brand,Average Battery Life (in hours),Item Weight,Graphics Coprocessor,Manufacturer,Processor Count,Brand,Product Dimensions,Chipset Brand,Series,Number of USB 2.0 Ports,Standing screen display size,Item Dimensions  L x W x H,Item model number,Memory Speed,Package Dimensions,Max Screen Resolution,Color,Card Description,Number of USB 3.0 Ports,Is Discontinued By Manufacturer,Manufacturer,Package Dimensions,Item model number,ASIN,Date First Available,Best Sellers Rank,Product Dimensions,Is Discontinued By Manufacturer,Item Weight
0,,,,,,,,,,,,,,,,,,,,,,,,,,EVanlak,,,B07YLQZXKY,"October 1, 2019",#850 in Computer Graphics Cards,13.33 x 0.7 x 0.2 inches,,0.352 ounces
1,,,,,,,,,,,,,,,,,,,,,,,,,,EKWB,7 x 5.25 x 3.75 inches,3831109819272,B085NBFXFT,"March 9, 2020","#3,135 in Water Cooling Systems",,,1.6 pounds
2,,,B07SXMZLP9,"July 1, 2019",AMD,,1.6 ounces,,AMD,12,AMD,1.57 x 1.57 x 0.24 inches,,Ryzen 9,,,1.57 x 1.57 x 0.24 inches,Ryzen 9 3900X,,,,,,,No,,,,B07SXMZLP9,"July 1, 2019",#4 in Computer CPU Processors,,,
3,,,,,,,,,,,,,,,1,,,,3700 MHz,,,,,,,,,,B07HHLX1R8,"September 19, 2018",#10 in Computer CPU Processors,,,
4,DDR4 SDRAM,,B07B428M7F,"April 13, 2018",AMD,,1.6 ounces,,AMD,8,AMD,1.6 x 1.6 x 0.3 inches,,,,,1.6 x 1.6 x 0.3 inches,YD270XBGAFBOX,,,,RGB,,,No,,,,B07B428M7F,"April 13, 2018",#16 in Computer CPU Processors,,,
5,,,B07SXMZLPJ,"July 1, 2019",AMD,,1.41 pounds,,AMD,8,AMD,1.57 x 1.57 x 0.24 inches,,Ryzen 7,,,1.57 x 1.57 x 0.24 inches,Ryzen 7 3800X,,,,,,,No,,,,B07SXMZLPJ,"July 1, 2019",#12 in Computer CPU Processors,,,
6,,,B07SQBFN2D,"July 1, 2019",AMD,,1.12 pounds,,AMD,6,AMD,1.57 x 1.57 x 0.24 inches,,Ryzen 5,,,1.57 x 1.57 x 0.24 inches,Ryzen 5 3600X,,,,,,,No,,,,B07SQBFN2D,"July 1, 2019",#6 in Computer CPU Processors,,,
7,,,B07S8DWXT3,"May 15, 2019",Intel,,9.2 ounces,,Intel,8,Intel,4.57 x 2.76 x 3.98 inches,,Intel i7,,,4.57 x 2.76 x 3.98 inches,BX80684I79700F,,,,,,,No,,,,B07S8DWXT3,"May 15, 2019",#18 in Computer CPU Processors,,,
8,,,B07SXNDKNM,"July 1, 2019",AMD,,1.12 pounds,,AMD,4,AMD,1.57 x 1.57 x 0.24 inches,,Ryzen 5,,,1.57 x 1.57 x 0.24 inches,Ryzen 5 3400G,,,,,,,No,,,,B07SXNDKNM,"July 1, 2019",#8 in Computer CPU Processors,,,
9,,,,,,,,Integrated_graphics,,,,,,,,,,,,,,,Integrated,,,,,,B012M8LXQW,"August 5, 2015",#31 in Computer CPU Processors,,,
10,,,,,,,,,,,,,,,1,,,,2800 MHz,,,,,,,,,,B0759FGJ3Q,"October 5, 2017",#29 in Computer CPU Processors,,,
11,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,B07B428V2L,"April 13, 2018",#23 in Computer CPU Processors,,,
12,,,B086MG1C7C,"May 27, 2020",Intel,,11.3 ounces,,Intel,8,Intel,,,,,,,BX8070110700,,4.65 x 4.09 x 2.83 inches,,,,,,,,,B086MG1C7C,"May 27, 2020",#19 in Computer CPU Processors,,,
13,,,B089WC4VWF,"July 7, 2020",AMD,,1.12 pounds,,AMD,6,AMD,1.57 x 0.24 x 5.28 inches,,"AMD Ryzen 5 3600XT, with Wraith Spire cooler",,,1.57 x 0.24 x 5.28 inches,AMD Ryzen 5 3600XT,,,,,,,,,,,B089WC4VWF,"July 7, 2020",#25 in Computer CPU Processors,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,EVanlak,,,B07YLQZXKY,"October 1, 2019",#850 in Computer Graphics Cards,13.33 x 0.7 x 0.2 inches,,0.352 ounces
15,,,,,,,,,,,,,,,,,,,,,,,,,,Braun,,FP3020WH,B00VF0RYK8,"March 30, 2015","#3,435 in Kitchen & Dining ( See Top 100 in Kitchen & Dining ) #12 in Food Processors",14.9 x 11.3 x 15.4 inches,No,9.8 pounds
16,GDDR4,,B07R7Q3JZH,"May 17, 2019",Intel,,8.8 ounces,,Intel,4,Intel,4.57 x 2.76 x 3.98 inches,,Intel i3,,,4.57 x 2.76 x 3.98 inches,BX80684I39100F,,,,,,,No,,,,B07R7Q3JZH,"May 17, 2019",#14 in Computer CPU Processors,,,
17,,802.11ac,,,,10 Hours,,AMD Integrated Graphics,,,,,AMD,,,14 Inches,,,,,1920 x 1080 Pixels,,Integrated,2,,,,,B086226DDB,"March 17, 2020",#21 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #2 in 2 in 1 Laptop Computers,,,
18,,,,,,,,Integrated_graphics,,,,,,,,,,,,,,,Integrated,,,,,,B012M8M7TY,"August 5, 2015",#39 in Computer CPU Processors,,,
19,,,,,,,,Intel HD Graphics,,,,,,,,,,,3700 MHz,,,,Integrated,,,,,,B07598VZR8,"October 5, 2017",#28 in Computer CPU Processors,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,D&H,,BX80673I99980X,B07JGCMQY8,"November 13, 2018",#106 in Computer CPU Processors,4 x 2 x 4.6 inches,No,1.16 ounces
